name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Geschwister Nothaft Coffee,restaurant,Berlin,52.472924296995,13.455056874683,6,16,"[1, 0, 3, 0, 5, 0, 3, 1, 1, 1, 1, 0]",2.2222222222222223
Geist im Glas,attraction,Berlin,52.49002779148,13.424812704766,6,16,"[2, 1, 2, 0, 3, 1, 0, 1, 3, 1, 0, 2]",1.0555555555555556
Themroc,restaurant,Berlin,52.52855,13.393308,7,15,"[2, 1, 2, 1, 2, 2, 1, 0, 1, 1, 1, 1]",0.3541666666666667
Dicke Wirtin,restaurant,Berlin,52.50648,13.323433,6,15,"[1, 0, 1, 0, 1, 0, 2, 3, 0, 3, 1, 3]",1.3541666666666667
Mãmãy,restaurant,Berlin,52.545547249909,13.413045460655,6,15,"[2, 1, 1, 2, 1, 1, 1, 4, 0, 0, 1, 1]",1.0208333333333333
Ost-West Cafe,restaurant,Berlin,52.538453944884,13.396387556215,6,15,"[2, 1, 1, 0, 3, 0, 1, 1, 3, 1, 0, 2]",1.0208333333333333
Lugosi,attraction,Berlin,52.497394037592,13.424252271652,6,15,"[2, 0, 4, 1, 2, 0, 1, 2, 1, 0, 2, 0]",1.3541666666666667
Pariser Platz,attraction,Berlin,52.516355089195,13.378760804006,8,14,"[1, 0, 0, 1, 1, 2, 1, 2, 0, 3, 2, 1]",0.8055555555555558
Khushi,restaurant,Berlin,52.53404,13.415211,7,14,"[1, 2, 0, 1, 0, 1, 1, 2, 1, 1, 2, 2]",0.4722222222222223
BadFish,attraction,Berlin,52.546543624852,13.417310714722,7,14,"[0, 1, 1, 1, 1, 0, 0, 1, 1, 5, 3, 0]",1.972222222222222
Juleps New York Bar & Restaurant,restaurant,Berlin,52.502588,13.308739,6,14,"[1, 2, 0, 2, 1, 2, 1, 2, 0, 1, 1, 1]",0.47222222222222215
Nil,restaurant,Berlin,52.499902,13.440737,6,14,"[2, 1, 1, 0, 1, 0, 2, 0, 2, 2, 2, 1]",0.6388888888888891
Winterfeld,restaurant,Berlin,52.496791,13.351326,6,14,"[0, 0, 1, 1, 1, 1, 4, 2, 1, 2, 0, 1]",1.138888888888889
Tian Fu,restaurant,Berlin,52.49483,13.3238837,6,14,"[1, 0, 1, 1, 0, 1, 1, 3, 2, 3, 1, 0]",0.9722222222222223
Sahara - Sudanesische Spezialitäten,restaurant,Berlin,52.488393,13.428798,6,14,"[1, 0, 2, 1, 0, 0, 1, 4, 0, 4, 1, 0]",1.9722222222222223
Companion Coffee,restaurant,Berlin,52.500946,13.420853,8,13,"[2, 1, 2, 0, 0, 1, 2, 1, 0, 3, 1, 0]",0.9097222222222222
Dr. Pong,attraction,Berlin,52.54115822,13.410799,7,13,"[1, 0, 2, 1, 3, 0, 0, 0, 4, 1, 1, 0]",1.5763888888888886
Risotto,restaurant,Berlin,52.526814,13.387329,6,13,"[1, 2, 0, 1, 1, 1, 1, 1, 2, 3, 0, 0]",0.7430555555555555
Vietnam Village,restaurant,Berlin,52.538544,13.410217,6,13,"[2, 0, 0, 0, 0, 1, 2, 0, 4, 2, 1, 1]",1.409722222222222
H10 Berlin Ku'damm,restaurant,Berlin,52.502119255136,13.331543496069,6,13,"[1, 2, 2, 0, 0, 1, 2, 0, 3, 1, 1, 0]",0.9097222222222223
Myxa Café,restaurant,Berlin,52.490260854992,13.42676281929,6,13,"[1, 0, 1, 4, 0, 0, 2, 2, 1, 0, 0, 2]",1.4097222222222225
Wok To Walk,restaurant,Berlin,52.50631025962,13.332759067542,6,13,"[2, 0, 0, 2, 3, 1, 0, 0, 2, 0, 2, 1]",1.076388888888889
Devils Kitchen & Bar,attraction,Berlin,52.493741716631,13.418302260867,8,12,"[1, 1, 0, 1, 2, 1, 2, 1, 3, 0, 0, 0]",0.8333333333333334
Mundvoll,restaurant,Berlin,52.503123,13.420807,7,12,"[1, 1, 1, 0, 1, 0, 1, 2, 0, 3, 2, 0]",0.8333333333333334
Scoom,restaurant,Berlin,52.521386599428,13.412174185341,7,12,"[0, 1, 2, 0, 2, 3, 1, 1, 1, 0, 0, 1]",0.8333333333333334
Bar Babette | KMA 36,attraction,Berlin,52.519511302067,13.42341542244,7,12,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 0, 0]",0.3333333333333333
Ku' Damm 101,attraction,Berlin,52.498275806725,13.295774459839,7,12,"[0, 1, 1, 1, 0, 4, 1, 1, 0, 0, 2, 1]",1.1666666666666667
Lieu in Berlin - Vietnamesisches Restaurant,restaurant,Berlin,52.503681,13.346692,6,12,"[1, 0, 0, 1, 2, 1, 0, 1, 1, 3, 2, 0]",0.8333333333333334
Kokolores,restaurant,Berlin,52.483614,13.432275,6,12,"[0, 2, 1, 0, 2, 0, 2, 1, 2, 2, 0, 0]",0.8333333333333334
Suppengrün,restaurant,Berlin,52.512102,13.41268,6,12,"[1, 1, 0, 2, 2, 1, 3, 1, 0, 1, 0, 0]",0.8333333333333334
Sisaket,restaurant,Berlin,52.509286633996,13.388171195984,6,12,"[1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 2]",0.3333333333333333
NHE.burritos,restaurant,Berlin,52.510219796618,13.45465900702,6,12,"[1, 0, 2, 0, 0, 1, 3, 1, 0, 1, 2, 1]",0.8333333333333334
Spindler & Klatt,attraction,Berlin,52.505802,13.434587,6,12,"[1, 1, 1, 0, 3, 2, 0, 0, 0, 2, 2, 0]",1.0
Bohnengold,attraction,Berlin,52.497532,13.424174,6,12,"[1, 0, 1, 0, 0, 0, 1, 1, 5, 0, 1, 2]",1.8333333333333333
Papalotl,attraction,Berlin,52.532074054678,13.41886346012,6,12,"[2, 0, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0]",1.0
Suppe & Salat,restaurant,Berlin,52.54146,13.411,8,11,"[0, 1, 0, 3, 0, 1, 0, 2, 2, 0, 1, 1]",0.9097222222222223
Gastón,restaurant,Berlin,52.4861210625,13.435376,8,11,"[0, 1, 1, 0, 2, 1, 1, 1, 2, 0, 1, 1]",0.40972222222222227
Röststätte Berlin,restaurant,Berlin,52.529113,13.397711,8,11,"[1, 1, 1, 0, 2, 0, 1, 1, 3, 1, 0, 0]",0.7430555555555557
Gianni Gillone Pasta Bar & Ital. Feinkost,restaurant,Berlin,52.529284735844,13.410055940812,7,11,"[2, 0, 2, 1, 1, 0, 1, 0, 0, 1, 1, 2]",0.576388888888889
Café am Ende der Welt,restaurant,Berlin,52.533129114878,13.371982127508,7,11,"[1, 0, 3, 1, 1, 1, 0, 2, 1, 1, 0, 0]",0.7430555555555557
Homemade,restaurant,Berlin,52.510680349847,13.456608307145,7,11,"[0, 0, 3, 1, 3, 2, 0, 1, 0, 1, 0, 0]",1.2430555555555556
SORAT Hotel Ambassador Berlin,attraction,Berlin,52.503279,13.34445254,7,11,"[1, 1, 0, 2, 2, 1, 1, 2, 0, 1, 0, 0]",0.576388888888889
Bellman Bar,attraction,Berlin,52.493504117039,13.437510032114,7,11,"[0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 0, 2]",0.576388888888889
Noto,restaurant,Berlin,52.528917,13.394851,6,11,"[1, 2, 1, 0, 2, 0, 0, 1, 1, 0, 1, 2]",0.576388888888889
Cafe au Lait,restaurant,Berlin,52.506603,13.305603,6,11,"[3, 0, 0, 1, 0, 1, 0, 1, 1, 2, 1, 1]",0.7430555555555557
TTP Sushi,restaurant,Berlin,52.498929074586,13.315281924436,6,11,"[0, 0, 1, 1, 1, 2, 0, 3, 2, 1, 0, 0]",0.9097222222222223
Cosmo Hotel,restaurant,Berlin,52.511464,13.401489,6,11,"[0, 2, 0, 4, 1, 1, 2, 1, 0, 0, 0, 0]",1.4097222222222223
Eschschloraque,attraction,Berlin,52.524452186011,13.401852525939,6,11,"[2, 2, 1, 0, 1, 0, 1, 2, 1, 1, 0, 0]",0.576388888888889
Das Gift,attraction,Berlin,52.484065740135,13.43243971467,6,11,"[0, 0, 0, 1, 3, 1, 1, 0, 1, 2, 1, 1]",0.7430555555555557
Gestalten Space,attraction,Berlin,52.525909,13.400647,9,10,"[0, 1, 0, 1, 1, 2, 0, 2, 0, 0, 2, 1]",0.6388888888888888
Freddy Leck sein Waschsalon Berlin,restaurant,Berlin,52.525195,13.329864,8,10,"[1, 1, 1, 0, 0, 1, 1, 0, 2, 3, 0, 0]",0.8055555555555555
St. Christopher's Inn,restaurant,Berlin,52.526861668457,13.410680294037,8,10,"[2, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 1]",0.6388888888888888
Chandni,restaurant,Berlin,52.533021,13.423021,7,10,"[2, 0, 0, 0, 0, 0, 0, 2, 2, 3, 0, 1]",1.1388888888888888
Restaurant Yama,restaurant,Berlin,52.53541,13.423025,6,10,"[2, 0, 0, 1, 2, 1, 0, 2, 2, 0, 0, 0]",0.8055555555555555
Pasta & Passione,restaurant,Berlin,52.538837,13.410179,6,10,"[1, 1, 2, 0, 0, 0, 2, 1, 1, 1, 0, 1]",0.47222222222222215
Nil,restaurant,Berlin,52.490837,13.423185,6,10,"[1, 3, 1, 0, 0, 1, 0, 2, 1, 1, 0, 0]",0.8055555555555557
freckles,restaurant,Berlin,52.489205,13.390161,6,10,"[1, 0, 2, 0, 2, 1, 1, 0, 2, 1, 0, 0]",0.6388888888888888
McDonald's,restaurant,Berlin,52.521732794641,13.408207896322,6,10,"[3, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 2]",1.3055555555555556
Dascha,restaurant,Berlin,52.543383,13.425335,6,10,"[2, 1, 0, 2, 0, 1, 1, 1, 0, 1, 1, 0]",0.47222222222222215
Imren,restaurant,Berlin,52.48196348207,13.433393239975,6,10,"[2, 1, 0, 0, 1, 0, 3, 2, 1, 0, 0, 0]",0.9722222222222222
Engelberg,restaurant,Berlin,52.53956079483,13.407137,6,10,"[0, 0, 2, 0, 0, 2, 1, 2, 2, 0, 1, 0]",0.8055555555555557
Goldfisch Bar,attraction,Berlin,52.511549927639,13.458290648525,6,10,"[0, 0, 1, 1, 0, 1, 1, 3, 0, 1, 2, 0]",0.8055555555555555
Lir Irish Pub,attraction,Berlin,52.520335,13.344444,6,10,"[0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0]",0.6388888888888888
F-Bar,attraction,Berlin,52.551853483964,13.386490128607,6,10,"[2, 0, 0, 0, 0, 3, 1, 0, 1, 3, 0, 0]",1.3055555555555556
Flughafen Berlin Tempelhof,attraction,Berlin,52.479905229997,13.392677307129,6,10,"[0, 0, 0, 0, 1, 1, 0, 5, 1, 2, 0, 0]",1.9722222222222223
