name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Béchu,restaurant,Paris,48.868017657417,2.2814966304343,6,16,"[0, 1, 2, 2, 3, 1, 3, 0, 1, 0, 2, 1]",1.0555555555555556
Espace Dalí,attraction,Paris,48.88644,2.339939,6,16,"[0, 0, 2, 0, 1, 0, 1, 5, 3, 2, 1, 1]",2.055555555555556
Etoile Lilas Cinéma,attraction,Paris,48.877708,2.409236,6,16,"[0, 1, 2, 3, 2, 3, 0, 1, 0, 0, 2, 2]",1.2222222222222223
Institut Suédois | Svenska Institutet i Paris,attraction,Paris,48.858303348474,2.3619621581951,6,16,"[0, 1, 2, 2, 0, 1, 2, 0, 1, 2, 2, 3]",0.8888888888888888
Le Cyrano,attraction,Paris,48.883808050966,2.3267342310434,6,16,"[1, 3, 1, 0, 4, 2, 1, 1, 1, 2, 0, 0]",1.388888888888889
Montagnard Le,restaurant,Paris,48.866149,2.384182,8,15,"[4, 0, 0, 3, 0, 2, 0, 2, 0, 4, 0, 0]",2.5208333333333335
La Maroquinerie,restaurant,Paris,48.868574,2.392119,8,15,"[0, 2, 0, 2, 4, 2, 1, 1, 0, 0, 2, 1]",1.3541666666666667
L'Express de Lyon,attraction,Paris,48.845865058579,2.3724233645621,8,15,"[1, 0, 0, 3, 2, 3, 2, 1, 2, 0, 1, 0]",1.1875
Mavrommatis,restaurant,Paris,48.840555,2.351312,7,15,"[1, 1, 5, 0, 2, 1, 2, 0, 1, 2, 0, 0]",1.8541666666666667
Au Roi Du Café,restaurant,Paris,48.843686,2.3066,7,15,"[0, 0, 0, 2, 2, 3, 2, 1, 3, 1, 1, 0]",1.1875
Sushi Marché,restaurant,Paris,48.846715,2.271115,7,15,"[2, 0, 0, 0, 2, 3, 0, 1, 0, 1, 4, 2]",1.6875
Ripaille,restaurant,Paris,48.883603,2.320697,7,15,"[1, 2, 0, 1, 1, 1, 2, 0, 5, 1, 1, 0]",1.6875
Saint James & Albany Hôtel,restaurant,Paris,48.864812430902,2.3307110440838,7,15,"[0, 1, 2, 0, 2, 1, 3, 5, 1, 0, 0, 0]",2.1875
La Bauhinia,restaurant,Paris,48.86381,2.293418,7,15,"[0, 0, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2]",1.5208333333333333
Théâtre Mogador,attraction,Paris,48.875293359031,2.3311722278595,7,15,"[2, 0, 1, 1, 1, 2, 0, 0, 1, 5, 2, 0]",1.8541666666666667
Hopital Europeen Georges-Pompidou,poi,Paris,48.839345,2.273394,6,15,"[0, 1, 1, 0, 2, 3, 2, 2, 0, 1, 1, 2]",0.8541666666666666
Gare SNCF de Paris-Nord,poi,Paris,48.880775847872,2.3552370071411,6,15,"[0, 0, 1, 1, 1, 2, 1, 4, 1, 1, 2, 1]",1.0208333333333333
"Métro Montparnasse–Bienvenüe [4,6,12,13]",poi,Paris,48.842943180734,2.3228305578232,6,15,"[1, 1, 1, 1, 3, 2, 0, 0, 1, 1, 0, 4]",1.3541666666666667
Rue Mouffetard,poi,Paris,48.842632940649,2.3497009277344,6,15,"[3, 0, 2, 0, 1, 2, 3, 0, 1, 0, 2, 1]",1.1875
Café de L'Alma,restaurant,Paris,48.86092,2.301418,6,15,"[1, 0, 1, 2, 1, 2, 3, 1, 2, 2, 0, 0]",0.8541666666666666
La Cantine du Troquet,restaurant,Paris,48.834179,2.315955,6,15,"[1, 1, 3, 1, 3, 2, 0, 1, 0, 1, 2, 0]",1.0208333333333333
La Timbale,restaurant,Paris,48.894456,2.345312,6,15,"[3, 2, 2, 0, 1, 2, 0, 1, 2, 2, 0, 0]",1.0208333333333333
