name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Parco di San Donato,attraction,Tuscany,43.793649969893,11.225838661194,6,12,"[3, 0, 0, 1, 3, 0, 2, 1, 1, 1, 0, 0]",1.1666666666666667
Loggia dei Lanzi,attraction,Tuscany,43.769109,11.255549,6,12,"[0, 1, 1, 3, 1, 1, 0, 0, 1, 4, 0, 0]",1.5
Pitigliano,attraction,Tuscany,42.634173598466,11.669165697521,6,12,"[0, 0, 1, 0, 1, 0, 2, 5, 3, 0, 0, 0]",2.3333333333333335
Sei Divino,attraction,Tuscany,43.771886,11.246572136879,9,11,"[1, 0, 3, 0, 1, 0, 0, 1, 2, 2, 0, 1]",0.9097222222222222
The Alchemist Club,attraction,Tuscany,43.712117938757,10.948502597553,8,11,"[3, 1, 1, 2, 0, 0, 0, 0, 1, 0, 2, 1]",0.9097222222222222
La Merenda delle Papere,restaurant,Tuscany,43.233778,10.61765,7,11,"[2, 0, 2, 0, 2, 1, 1, 1, 1, 0, 1, 0]",0.576388888888889
Antica Trattoria Sanesi,restaurant,Tuscany,43.77079,11.106531,7,11,"[0, 1, 0, 0, 2, 0, 3, 1, 0, 1, 1, 2]",0.9097222222222223
L'officina della Cucina Popolare,restaurant,Tuscany,43.421259,11.113674,7,11,"[1, 0, 0, 1, 1, 1, 1, 5, 0, 0, 1, 0]",1.7430555555555551
La Rotonda,restaurant,Tuscany,43.775103,11.242941,7,11,"[0, 0, 2, 2, 0, 0, 1, 0, 2, 3, 1, 0]",1.076388888888889
Momoyama,restaurant,Tuscany,43.769297,11.245664,7,11,"[1, 1, 0, 1, 1, 1, 2, 0, 2, 1, 1, 0]",0.4097222222222223
Ristorante Vincanto,restaurant,Tuscany,43.773258,11.250015,7,11,"[0, 2, 1, 2, 0, 0, 3, 1, 2, 0, 0, 0]",1.076388888888889
Ristorante La Mencia,restaurant,Tuscany,43.235583,11.558859,7,11,"[0, 0, 0, 1, 1, 0, 3, 3, 2, 0, 1, 0]",1.2430555555555556
Fattoria Pulcino,restaurant,Tuscany,43.076506,11.784767,7,11,"[1, 0, 2, 0, 2, 1, 0, 2, 1, 1, 0, 1]",0.5763888888888891
Fratelli Briganti,restaurant,Tuscany,43.792206613713,11.250461362611,7,11,"[1, 0, 3, 1, 0, 0, 0, 1, 2, 3, 0, 0]",1.2430555555555556
Tombolo Talasso Resort,attraction,Tuscany,43.179531,10.539469,7,11,"[1, 0, 0, 1, 2, 1, 3, 0, 0, 2, 0, 1]",0.9097222222222224
Camping Voltoncino,attraction,Tuscany,42.527698,11.188354,7,11,"[0, 0, 0, 2, 0, 2, 1, 6, 0, 0, 0, 0]",2.909722222222222
Giardino di San Marco,attraction,Tuscany,43.778183,11.259264,7,11,"[0, 1, 2, 2, 3, 0, 1, 0, 1, 0, 1, 0]",0.9097222222222223
Certaldo,attraction,Tuscany,43.545935263778,11.039199829102,7,11,"[0, 1, 1, 1, 3, 0, 2, 0, 1, 0, 1, 1]",0.7430555555555557
Hidron,attraction,Tuscany,43.820049044015,11.121107634239,7,11,"[1, 1, 1, 0, 1, 1, 3, 0, 1, 0, 1, 1]",0.576388888888889
The Fiddler's Elbow - Irish Pub,attraction,Tuscany,43.773146791773,11.249570251199,7,11,"[0, 1, 1, 1, 2, 0, 1, 1, 2, 2, 0, 0]",0.576388888888889
Finnegan's,attraction,Tuscany,43.780572,11.258923,7,11,"[0, 1, 3, 0, 1, 1, 0, 1, 0, 2, 1, 1]",0.7430555555555557
Terme Sensoriali,attraction,Tuscany,43.041237177311,11.817297448996,7,11,"[0, 0, 0, 0, 1, 4, 1, 1, 0, 2, 1, 1]",1.2430555555555556
Ristorante Novelli,restaurant,Tuscany,43.488197,10.329924,6,11,"[1, 0, 0, 0, 1, 1, 1, 3, 2, 0, 1, 1]",0.7430555555555557
Il Buongustaio,restaurant,Tuscany,43.855877,10.566623,6,11,"[0, 1, 1, 3, 1, 3, 0, 0, 0, 0, 1, 1]",1.0763888888888893
Gelateria Dalmazia,restaurant,Tuscany,43.79666,11.240414,6,11,"[0, 2, 0, 1, 3, 1, 1, 0, 2, 0, 1, 0]",0.9097222222222223
Mama's Bakery,restaurant,Tuscany,43.766055,11.245105,6,11,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 0]",0.40972222222222227
Compagnia dei Vinattieri,restaurant,Tuscany,43.319936,11.33045,6,11,"[1, 3, 1, 0, 0, 1, 1, 2, 1, 0, 1, 0]",0.7430555555555557
Rossobirra,restaurant,Tuscany,43.726728,11.766926,6,11,"[0, 0, 0, 1, 1, 1, 2, 3, 1, 0, 1, 1]",0.7430555555555557
Bondi Focacceria,restaurant,Tuscany,43.776749172767,11.252215934611,6,11,"[1, 0, 2, 1, 0, 2, 0, 0, 1, 1, 2, 1]",0.576388888888889
Mastrociliegia,restaurant,Tuscany,43.771380609093,11.261398886245,6,11,"[0, 0, 0, 1, 1, 1, 0, 1, 2, 1, 3, 1]",0.7430555555555557
