address,category,id,lat,lng,location,name,originalId,polarity,subCategory,numReviews,reviews,details
Ponte Sant'Angelo,attraction,362,41.902056990123,12.466516022006,Rome,Ponte Sant'Angelo,,4,,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=362,http://tour-pedia.org/api/getPlaceDetails?id=362
Piazza Barberini,attraction,265,41.903691463865,12.488364637041,Rome,Fontana del Tritone e Fontana delle Api,4adcdac6f964a520425321e3,4,Sculpture Garden,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=265,http://tour-pedia.org/api/getPlaceDetails?id=265
18 Piazza Bocca della Verità,attraction,236,41.88807,12.481625,Rome,Basilica di Santa Maria in Cosmedin,4adcdac6f964a5201a5321e3,4,Church,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=236,http://tour-pedia.org/api/getPlaceDetails?id=236
,attraction,13080,41.886471587121,12.530113729825,Rome,Yeah!,4eecfe319911d70cb74ed0ce,4,Lounge,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=13080,http://tour-pedia.org/api/getPlaceDetails?id=13080
,attraction,22907,41.730333217342,12.278586448412,Rome,Insolito,5182a627498e7198254cfa68,4,Cocktail Bar,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22907,http://tour-pedia.org/api/getPlaceDetails?id=22907
"Via Federico Nansen, 6, Rome, Italy",restaurant,3390,41.871077,12.482568,Rome,Pizza Luigi S.R-L.,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3390,http://tour-pedia.org/api/getPlaceDetails?id=3390
"Piazza Ponziani, 7A",restaurant,7886,41.888471,12.477947,Rome,Trattoria da Teo,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7886,http://tour-pedia.org/api/getPlaceDetails?id=7886
Via della Magliana 38,restaurant,4041,41.86424149596,12.457317565377,Rome,Ristorante Almacrì,4cc1f59bb2beb1f72ec60c4c,4,Italian Restaurant,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4041,http://tour-pedia.org/api/getPlaceDetails?id=4041
"Via Tuscolana, 461",restaurant,2177,41.869272820518,12.538505712881,Rome,Burger King,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2177,http://tour-pedia.org/api/getPlaceDetails?id=2177
"Via Vittorio Veneto, 30",restaurant,1581,41.905143856358,12.487855049606,Rome,Gran Caffè Roma,4bf282eb77b4c92866516a1c,4,Italian Restaurant,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1581,http://tour-pedia.org/api/getPlaceDetails?id=1581
,restaurant,1528,41.913903528933,12.522489770577,Rome,Da Enrico,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1528,http://tour-pedia.org/api/getPlaceDetails?id=1528
"Piazza Monte Grappa, 1",restaurant,1463,41.917984,12.46958,Rome,Rossopomodoro,4be5b982bcef2d7f413704e5,4,Pizza Place,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1463,http://tour-pedia.org/api/getPlaceDetails?id=1463
"Via Ostiense, 178, Rome, Italy",restaurant,948,41.863391,12.478352,Rome,Ristorante Al Biondo Tevere,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=948,http://tour-pedia.org/api/getPlaceDetails?id=948
"Via Enrico dal Pozzo, 5, Roma, Italia",restaurant,1394,41.86628,12.469029,Rome,Retro,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1394,http://tour-pedia.org/api/getPlaceDetails?id=1394
"Via Barrili Anton Giulio, 66, Rome, Italy",restaurant,1449,41.880824,12.460719,Rome,Dolci - Desideri S.R.L.,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1449,http://tour-pedia.org/api/getPlaceDetails?id=1449
"Via delle Fratte di Trastevere, 45, Rome, Italy",restaurant,2238,41.887825,12.471324,Rome,Popi Popi,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2238,http://tour-pedia.org/api/getPlaceDetails?id=2238
